x,exact,predicted
0,0,1.3116e-12
0.010101,0,2.74778e-13
0.020202,0,5.56278e-14
0.030303,0,1.08886e-14
0.040404,0,2.0618e-15
0.050505,0,3.77856e-16
0.0606061,0,6.70519e-17
0.0707071,0,1.15261e-17
0.0808081,0,1.92152e-18
0.0909091,0,2.96787e-19
0.10101,0,1.6953e-19
0.111111,0,-1.0425e-18
0.121212,0,8.69076e-18
0.131313,0,-6.84658e-17
0.141414,0,5.12502e-16
0.151515,0,-3.6367e-15
0.161616,0,2.44021e-14
0.171717,0,-1.54393e-13
0.181818,0,9.18094e-13
0.191919,0,-5.11167e-12
0.20202,0,2.65282e-11
0.212121,0,-1.27638e-10
0.222222,0,5.6559e-10
0.232323,0,-2.28891e-09
0.242424,0,8.36692e-09
0.252525,0,-2.72066e-08
0.262626,0,7.69199e-08
0.272727,0,-1.81996e-07
0.282828,0,3.33393e-07
0.292929,0,-3.72334e-07
0.30303,0,-1.37236e-07
0.313131,0,1.60961e-06
0.323232,0,-2.99382e-06
0.333333,0,1.77552e-07
0.343434,0,9.67648e-06
0.353535,0,-1.32071e-05
0.363636,0,-1.80139e-05
0.373737,0,5.64725e-05
0.383838,0,3.0526e-05
0.393939,0,-0.000186769
0.40404,0,-0.000105307
0.414141,0,0.000561375
0.424242,0,0.000656996
0.434343,0,-0.00116111
0.444444,0,-0.00336434
0.454545,0,-0.000501601
0.464646,0,0.00969166
0.474747,0,0.0232258
0.484848,0,0.0199848
0.494949,0,-0.00775651
0.50505,0,-0.0549896
0.515152,0,-0.108744
0.525253,0,-0.0170666
0.535354,0,0.29441
0.545455,0,0.635132
0.555556,1,0.852306
0.565657,1,0.937574
0.575758,1,0.954503
0.585859,1,0.971024
0.59596,1,1.00512
0.606061,1,1.0112
0.616162,1,0.983222
0.626263,1,0.976927
0.636364,1,1.01265
0.646465,1,1.03769
0.656566,1,1.00995
0.666667,1,0.952182
0.676768,1,0.9357
0.686869,1,0.987159
0.69697,1,1.06118
0.707071,1,1.10249
0.717172,1,1.06363
0.727273,1,0.905884
0.737374,1,0.628336
0.747475,1,0.3072
0.757576,0,0.141711
0.767677,0,0.086667
0.777778,0,0.0535809
0.787879,0,0.0320128
0.79798,0,0.0182299
0.808081,0,0.00983521
0.818182,0,0.00501465
0.828283,0,0.0024151
0.838384,0,0.00109941
0.848485,0,0.000473696
0.858586,0,0.000193499
0.868687,0,7.50707e-05
0.878788,0,2.77106e-05
0.888889,0,9.74845e-06
0.89899,0,3.27356e-06
0.909091,0,1.05083e-06
0.919192,0,3.22883e-07
0.929293,0,9.50817e-08
0.939394,0,2.68644e-08
0.949495,0,7.29022e-09
0.959596,0,1.90198e-09
0.969697,0,4.77491e-10
0.979798,0,1.15446e-10
0.989899,0,2.69019e-11
1,0,6.04634e-12
